gene_short_name	status	p_value	morans_test_statistic	morans_I	q_value
Focad	FAIL	NA	NA	NA	1
Sybu	FAIL	NA	NA	NA	1
Apcdd1	FAIL	NA	NA	NA	1
Plin2	FAIL	NA	NA	NA	1
Fmo1	FAIL	NA	NA	NA	1
Tmod2	FAIL	NA	NA	NA	1
AC120076.1	OK	4.27391828605716e-42	13.5444269348864	0.154584568907249	1.14532588552468e-41
Pde5a	FAIL	NA	NA	NA	1
Gclm	FAIL	NA	NA	NA	1
Ncam2	OK	0.0504510664094218	1.64049574325513	-0.00107692307692081	0.0618139192043367
Nt5e	FAIL	NA	NA	NA	1
Mcpt1l1	OK	7.02292746257685e-05	3.80735939615398	0.0440627612902635	9.34100865438095e-05
Cma1	OK	0.0229405991706194	1.99648461870598	0.0184401550736436	0.028821445609277
Fcnb	OK	0.00946961392038835	2.34672499088869	0.00513057768438051	0.0120361447960076
Frzb	FAIL	NA	NA	NA	1
Mcpt8l3	FAIL	NA	NA	NA	1
Ifit3	OK	7.10136995190205e-61	16.4180636008631	0.20147222874422	2.97165019525747e-60
Phex	FAIL	NA	NA	NA	1
Hdc	OK	7.54983094912709e-20	9.04403230650449	0.0847170183284626	1.36903601210838e-19
Gja5	FAIL	NA	NA	NA	1
Sostdc1	FAIL	NA	NA	NA	1
Gfap	OK	0.0679335326145172	1.49135976660068	-0.00115384615384614	0.0824907181747708
Cd63	FAIL	NA	NA	NA	1
Tph1	FAIL	NA	NA	NA	1
Ltc4s	FAIL	NA	NA	NA	1
Cdkn3	OK	9.08096119755631e-31	11.4723684723485	0.106875380082937	2.00001736496787e-30
Ptprd	FAIL	NA	NA	NA	1
Pou3f1	OK	5.54125578704012e-20	9.07776698458475	0.0868335390052268	1.01496402294607e-19
Aplnr	OK	0.00512414223327359	2.56733738638059	0.0172221273783434	0.00655890205859019
Trdn	FAIL	NA	NA	NA	1
Tuba4a	FAIL	NA	NA	NA	1
AABR07017649.2	OK	1.35044939222171e-39	13.1150259195809	0.122633896461507	3.46530410079533e-39
Pam	FAIL	NA	NA	NA	1
Plekha4	FAIL	NA	NA	NA	1
Fcmr	OK	7.46426122935804e-89	19.9502016093027	0.247766634639846	5.56240836817914e-88
App	FAIL	NA	NA	NA	1
Ahnak	FAIL	NA	NA	NA	1
Itga4	OK	6.92449788070898e-204	30.4452409827261	0.379263084316407	1.44881801811757e-202
Vim	FAIL	NA	NA	NA	1
Tuba1a	FAIL	NA	NA	NA	1
Prg4	OK	1.6997865593895e-78	18.7200303661136	0.231018663934924	1.08786339800928e-77
Osm	OK	1.95982320960357e-103	21.5639194567346	0.217286723848211	1.74777676397433e-102
Akr7a3	FAIL	NA	NA	NA	1
AC114233.2	FAIL	NA	NA	NA	1
LOC100359539	OK	6.21913021671060e-10	6.07448971847635	0.0652092699667491	9.32012903000155e-10
Tenm2	OK	0	39.452378902109	0.480645078616598	0
Klra22	OK	1.60499034747666e-129	24.1848709331596	0.249761034949153	1.98435170233478e-128
Ifitm2	FAIL	NA	NA	NA	1
Dbi	FAIL	NA	NA	NA	1
Tlr2	FAIL	NA	NA	NA	1
